,Feedback Type,Algorithm Name,Environment Name,0.3,0.5,0.7,0.9
0,Action Recommendation,PPO,Bibtex,0.27349+-0.00167,0.26383+-0.00091,0.20268+-0.00260,0.16763+-0.00092
1,Reward Manipulation,PPO,Bibtex,0.27827+-0.00312,0.27470+-0.00165,0.16965+-0.00202,0.31021+-0.00278
2,Action Recommendation,PPO,Media_Mill,0.76862+-0.00137,0.76842+-0.00230,0.77206+-0.00124,0.76662+-0.00134
3,Reward Manipulation,PPO,Media_Mill,0.76683+-0.00190,0.76530+-0.00128,0.76895+-0.00291,0.77545+-0.00151
4,Action Recommendation,PPO,Delicious,0.51770+-0.00220,0.36824+-0.00191,0.37114+-0.00208,0.46170+-0.00130
5,Reward Manipulation,PPO,Delicious,0.48187+-0.00113,0.29682+-0.00230,0.36717+-0.00215,0.40190+-0.00165
6,Action Recommendation,PPO-LSTM,Bibtex,0.13464+-0.00086,0.11283+-0.00204,0.11533+-0.00090,0.02363+-0.00063
7,Reward Manipulation,PPO-LSTM,Bibtex,0.14413+-0.00052,0.14157+-0.00186,0.13750+-0.00095,0.14304+-0.00136
8,Action Recommendation,PPO-LSTM,Media_Mill,0.76836+-0.00155,0.77318+-0.00141,0.77504+-0.00058,0.77113+-0.00120
9,Reward Manipulation,PPO-LSTM,Media_Mill,0.76973+-0.00114,0.77447+-0.00177,0.76748+-0.00187,0.76197+-0.00373
10,Action Recommendation,PPO-LSTM,Delicious,0.12497+-0.00140,0.11567+-0.00091,0.11793+-0.00203,0.11698+-0.00100
11,Reward Manipulation,PPO-LSTM,Delicious,0.28802+-0.00123,0.26663+-0.00204,0.09600+-0.00092,0.26014+-0.00151
12,Action Recommendation,Reinforce,Bibtex,0.24346+-0.00128,0.27678+-0.00159,0.29793+-0.00134,0.11714+-0.00133
13,Reward Manipulation,Reinforce,Bibtex,0.21970+-0.00090,0.24939+-0.00148,0.25543+-0.00166,0.25662+-0.00137
14,Action Recommendation,Reinforce,Media_Mill,0.08715+-0.00139,0.35710+-0.00214,0.63323+-0.00296,0.63446+-0.00155
15,Reward Manipulation,Reinforce,Media_Mill,0.77292+-0.00310,0.77098+-0.00177,0.77183+-0.00111,0.77339+-0.00129
16,Action Recommendation,Reinforce,Delicious,0.37394+-0.00165,0.35349+-0.00121,0.37268+-0.00230,0.24432+-0.00258
17,Reward Manipulation,Reinforce,Delicious,0.04502+-0.00067,0.15057+-0.00138,0.07441+-0.00142,0.07983+-0.00091
18,Action Recommendation,Actor-Critic,Bibtex,0.14119+-0.00107,0.21240+-0.00068,0.23825+-0.00093,0.15231+-0.00208
19,Reward Manipulation,Actor-Critic,Bibtex,0.17242+-0.00126,0.23110+-0.00149,0.19961+-0.00119,0.19822+-0.00149
20,Action Recommendation,Actor-Critic,Media_Mill,0.76394+-0.00118,0.77449+-0.00242,0.76325+-0.00085,0.76966+-0.00076
21,Reward Manipulation,Actor-Critic,Media_Mill,0.76749+-0.00205,0.77507+-0.00124,0.77664+-0.00099,0.76347+-0.00203
22,Action Recommendation,Actor-Critic,Delicious,0.02017+-0.00084,0.02213+-0.00031,0.02629+-0.00054,0.03498+-0.00036
23,Reward Manipulation,Actor-Critic,Delicious,0.02292+-0.00051,0.02334+-0.00070,0.02354+-0.00034,0.02154+-0.00069
24,Action Recommendation,LinearUCB,Bibtex,0.02478+-0.00068,0.02280+-0.00056,0.02145+-0.00066,0.02002+-0.00055
25,Reward Manipulation,LinearUCB,Bibtex,0.02369+-0.00080,0.02532+-0.00079,0.02518+-0.00049,0.03527+-0.00115
26,Action Recommendation,LinearUCB,Media_Mill,0.00321+-0.00028,0.00259+-0.00029,0.17961+-0.00117,0.17399+-0.00084
27,Reward Manipulation,LinearUCB,Media_Mill,0.00059+-0.00004,0.00058+-0.00007,0.19890+-0.00087,0.05337+-0.00136
28,Action Recommendation,LinearUCB,Delicious,0.02430+-0.00053,0.01818+-0.00036,0.02064+-0.00061,0.05308+-0.00066
29,Reward Manipulation,LinearUCB,Delicious,0.01664+-0.00022,0.10018+-0.00161,0.01889+-0.00051,0.08540+-0.00063
30,Action Recommendation,Bootstrapped-TS,Bibtex,0.22537+-0.00196,0.19911+-0.00105,0.21668+-0.00144,0.24097+-0.00137
31,Reward Manipulation,Bootstrapped-TS,Bibtex,0.15276+-0.00101,0.27697+-0.00103,0.18423+-0.00087,0.18468+-0.00278
32,Action Recommendation,Bootstrapped-TS,Media_Mill,0.00000+-0.00000,0.00000+-0.00000,0.00000+-0.00000,0.00000+-0.00000
33,Reward Manipulation,Bootstrapped-TS,Media_Mill,0.00000+-0.00000,0.00000+-0.00000,0.00000+-0.00000,0.00000+-0.00000
34,Action Recommendation,Bootstrapped-TS,Delicious,0.00000+-0.00000,0.00000+-0.00000,0.00000+-0.00000,0.00000+-0.00000
35,Reward Manipulation,Bootstrapped-TS,Delicious,0.00000+-0.00000,0.00000+-0.00000,0.00000+-0.00000,0.00000+-0.00000
